PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
684;ITALIA;Italiana;Scuola di studi Internazionali;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI ;Corso di Laurea Magistrale;NewSmartCard;Este;Padova;Veneto;ITALIA
685;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;OpenMove;Montesilvano;Pescara;Abruzzo;ITALIA
686;PAKISTAN;Extracomunitaria;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OpenMove;-;-;-;PAKISTAN
687;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
688;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Pianezze;Vicenza;Veneto;ITALIA
689;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OldSmartCard;Spormaggiore;Trento;Trentino Alto Adige;ITALIA
690;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;NewSmartCard;Nuoro;Nuoro;Sardegna;ITALIA
691;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
692;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
693;ROMANIA;Comunitaria;Dipartimento di Economia e Management;Gestione Aziendale;Corso di Laurea;NewSmartCard;Lugo;Ravenna;Emilia-Romagna;ITALIA
694;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Marano di Valpolicella;Verona;Veneto;ITALIA
695;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;NewSmartCard;Milano;Milano;Lombardia;ITALIA
696;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OpenMove;Favara;Agrigento;Sicilia;ITALIA
697;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OpenMove;Montemarciano;Ancona;Marche;ITALIA
698;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;NewSmartCard;Bassano del Grappa;Vicenza;Veneto;ITALIA
699;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Laives;Bolzano;Trentino Alto Adige;ITALIA
700;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OpenMove;Acireale;Catania;Sicilia;ITALIA
701;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Bondo;Trento;Trentino Alto Adige;ITALIA
702;ITALIA;Italiana;Centro interdipartimentale Mente/Cervello- CIMeC ;Cognitive Science - Scienze Cognitive;Corso di Laurea Magistrale;OpenMove;Bussero;Milano;Lombardia;ITALIA
703;ITALIA;Italiana;Centro interdipartimentale Mente/Cervello- CIMeC ;Cognitive Science - Scienze Cognitive;Corso di Laurea Magistrale;OpenMove;Pisa;Pisa;Toscana;ITALIA
704;MESSICO;Extracomunitaria;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;NewSmartCard;-;-;-;MESSICO
705;INDIA;Extracomunitaria;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;NewSmartCard;-;-;-;INDIA
706;ETIOPIA;Extracomunitaria;Dipartimento di Ingegneria e Scienza dell'Informazione;INFORMATICA;Corso di Laurea Magistrale;NewSmartCard;-;-;-;ETIOPIA
707;INDIA;Extracomunitaria;Dipartimento di Ingegneria e Scienza dell'Informazione;INFORMATICA;Corso di Laurea Magistrale;OldSmartCard;-;-;-;INDIA
708;ETIOPIA;Extracomunitaria;Dipartimento di Ingegneria e Scienza dell'Informazione;INFORMATICA;Corso di Laurea Magistrale;NewSmartCard;-;-;-;ETIOPIA
709;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
710;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Ala;Trento;Trentino Alto Adige;ITALIA
711;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
